2026/07/09 10:38:37 server: 2, group: 1, FreezeShard in DoOp shard: 0, status: 3, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 1, group: 1, FreezeShard in DoOp shard: 0, status: 3, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 0, group: 1, FreezeShard in DoOp shard: 0, status: 3, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 2, group: 2, InstallShard in DoOp shard: 0, status: 1, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 2, group: 1, DeleteShard in DoOp shard: 0, status: 3, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 0, group: 1, DeleteShard in DoOp shard: 0, status: 3, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 1, group: 1, DeleteShard in DoOp shard: 0, status: 3, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 1, group: 2, InstallShard in DoOp shard: 0, status: 1, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:37 server: 0, group: 2, InstallShard in DoOp shard: 0, status: 1, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 2, group: 2, FreezeShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 0, group: 2, FreezeShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 1, group: 2, FreezeShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 2, group: 3, InstallShard in DoOp shard: 0, status: 1, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 0, group: 3, InstallShard in DoOp shard: 0, status: 1, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 1, group: 3, InstallShard in DoOp shard: 0, status: 1, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 2, group: 2, DeleteShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 1, group: 2, DeleteShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 0, group: 2, DeleteShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 2, group: 3, FreezeShard in DoOp shard: 0, status: 3, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 1, group: 3, FreezeShard in DoOp shard: 0, status: 3, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:38 server: 0, group: 3, FreezeShard in DoOp shard: 0, status: 3, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:39 server: 0, group: 4, InstallShard in DoOp shard: 0, status: 1, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:39 server: 1, group: 4, InstallShard in DoOp shard: 0, status: 1, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:39 server: 2, group: 4, InstallShard in DoOp shard: 0, status: 1, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:39 server: 2, group: 3, DeleteShard in DoOp shard: 0, status: 3, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:39 server: 1, group: 3, DeleteShard in DoOp shard: 0, status: 3, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:39 server: 0, group: 3, DeleteShard in DoOp shard: 0, status: 3, op configNum: 4, local configNum: 4, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 0, group: 4, FreezeShard in DoOp shard: 0, status: 3, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 1, group: 4, FreezeShard in DoOp shard: 0, status: 3, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 2, group: 4, FreezeShard in DoOp shard: 0, status: 3, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 2, group: 6, InstallShard in DoOp shard: 0, status: 1, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 0, group: 4, DeleteShard in DoOp shard: 0, status: 3, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 1, group: 6, InstallShard in DoOp shard: 0, status: 1, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 0, group: 6, InstallShard in DoOp shard: 0, status: 1, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 1, group: 4, DeleteShard in DoOp shard: 0, status: 3, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:40 server: 2, group: 4, DeleteShard in DoOp shard: 0, status: 3, op configNum: 6, local configNum: 6, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 1, group: 2, InstallShard in DoOp shard: 0, status: 1, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 1, group: 2, FreezeShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 1, group: 2, DeleteShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 2, group: 2, InstallShard in DoOp shard: 0, status: 1, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 2, group: 2, FreezeShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 2, group: 2, DeleteShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 0, group: 2, InstallShard in DoOp shard: 0, status: 1, op configNum: 2, local configNum: 2, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 0, group: 2, FreezeShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:46 server: 0, group: 2, DeleteShard in DoOp shard: 0, status: 3, op configNum: 3, local configNum: 3, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:51 server: 2, group: 6, FreezeShard in DoOp shard: 0, status: 3, op configNum: 14, local configNum: 14, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:51 server: 1, group: 6, FreezeShard in DoOp shard: 0, status: 3, op configNum: 14, local configNum: 14, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:51 server: 0, group: 6, FreezeShard in DoOp shard: 0, status: 3, op configNum: 14, local configNum: 14, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:51 server: 2, group: 6, DeleteShard in DoOp shard: 0, status: 3, op configNum: 14, local configNum: 14, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:51 server: 0, group: 6, DeleteShard in DoOp shard: 0, status: 3, op configNum: 14, local configNum: 14, data: {-lcYBA2QmsVgaalVqvZ0 1}
2026/07/09 10:38:51 server: 1, group: 6, DeleteShard in DoOp shard: 0, status: 3, op configNum: 14, local configNum: 14, data: {-lcYBA2QmsVgaalVqvZ0 1}
